Part Number,Description,PriceEa,ValidFrom
em-2m,"ematch 2-meter wire length, orange wire, 50/box",0.48,1/01/2015
em-3m,"ematch 3-meter wire length, blue or black wire 40/box",0.71,1/01/2015
em-5m,"ematch 5-meter wire length,  yellow wire 25/box",0.91,1/01/2015
fc1.0cm,firecrackers 1.0cm diameter - 177 feet; 12000 pcs,89.9,1/01/2015
fc1.8cm,firecrackers 1.8cm diameter - 95 feet; 3700 pcs,87.85,1/01/2015
fc2.0cm,firecrackers 2.0cm diameter - 89 feet; 2800 pcs,86.68,1/01/2015
qm-50m,quickmatch fuse - 50 meter roll,45,1/01/2015
rack-175-hdpe,"mortar rack, 1.75"" w/14 black hdpe tubes, 4 ft wide",65.91,1/01/2015
rack-25-hdpe,"mortar rack, 2.5"" w/10 black hdpe tubes, 4 ft wide",70.75,1/01/2015
rack-3-hdpe,"mortar rack, 3"" w/10 black hdpe tubes, 4 ft wide",79.08,1/01/2015
rack-4-hdpe,"mortar rack, 4"" w/8 black hdpe tubes, 4 ft wide",114.07,1/01/2015
rack-5-hdpe,"mortar rack, 5"" w/6 black hdpe tubes, 4 ft wide",133.81,1/01/2015
rack-6-hdpe,"mortar rack, 6"" w/5 black hdpe tubes, 4 ft wide",150.48,1/01/2015
tube-10-hdpe,"mortar tube, 10"", black hdpe, 60"" long",88.07,1/01/2015
tube-25-hdpe,"mortar tube, 2.5"", black hdpe, 16 1/2"" long",3.92,1/01/2015
tube-3-hdpe,"mortar tube, 3"", black hdpe, 19 1/2"" long",5.11,1/01/2015
tube-4-hdpe,"mortar tube, 4"", black hdpe, 23.6"" long",8.2,1/01/2015
tube-5-hdpe,"mortar tube, 5"", black hdpe, 30"" long",13.54,1/01/2015
tube-6-hdpe,"mortar tube, 6"", black hdpe, 35.4"" long",20.86,1/01/2015
tube-6-fg,"mortar tube, 6"", blue fiberglass, 35.4"" long",16.13,1/01/2015
tube-8-hdpe,"mortar tube, 8"", black hdpe, 43.3"" long",55.89,1/01/2015
ld2asrt,"2"" assortment A&B Lidu 1 ea of 144 w/tails",1.42,1/01/2015
ld25asrta,"2.5"" assortment A 24 types 4 ea (incl. 20 mc tiger tails) w/tails",1.79,1/01/2015
yf25assorta,"2.5"" assortment A yung feng 4 ea of 25 w/large red tail & 2 fuses",2.32,1/01/2015
yx25assorta,"2.5"" assortment A yx 4 ea of 24 w/large silver tail & 2 fuses",1.74,1/01/2015
ld25asrtb,"2.5"" assortment B 96 types 1 each w/tails",1.91,1/01/2015
ld25asrtc,"2.5"" assortment C 60 types 1 each + 36 salutes w/tails",1.78,1/01/2015
yx3assorta,"3"" assorted shells yx 2 ea of 36 w/big silver tail & 2 fuses",2.91,1/01/2015
yf3asrtc1,"3"" assortment C1 yung feng 2 ea of 36, w/2 fuses",4.49,1/01/2015
yf3assT,"3"" assortment T yung feng 2 ea of 36, w/2 fuses",4.26,1/01/2015
yf4asrtc1,"4"" assortment C1 yungfeng (fancy) 1 ea of 36 w/2 fuses",10.32,1/01/2015
hq4assort,"4"" assortment hq 1 ea of 36 w/big silver tail & 2 fuses",5.64,1/01/2015
sn4asrt,"4"" assortment sunny brand fancy shells 2 ea of 18 types",7.32,1/01/2015
yf4assT,"4"" assortment T yungfeng (fancy) 1 ea of 36 w/2 fuses",9.6,1/01/2015
yx4assorta,"4"" assortment yx 2 ea of 18 w/big silver tail & 2 fuses",5.83,1/01/2015
hq5assort,"5"" assortment 1 ea of 24 w/big silver tail & 2 fuses",14.63,1/01/2015
yy5assrta,"5"" assortment A fancy - 1 ea of 24, some w/tail, 2 fuses",13.39,1/01/2015
yf5assorta,"5"" assortment A yf 1 ea of 24 w/ long fuse & short fuse w/emc",18.81,1/01/2015
yy5assrtb,"5"" assortment B fancy - 1 ea of 24, some w/tail, 2 fuses",15.92,1/01/2015
yf5assortb,"5"" assortment B yf 1 ea of 24 w/long fuse & short fuse w/emc",20.23,1/01/2015
yf5asrtc1,"5"" assortment C1 (fancy), yung feng, 1 ea of 24 w/2 fuses",18.87,1/01/2015
yf5asrtc2,"5"" assortment C2 (fancy), yung feng, 1 ea of 24 w/2 fuses",18.57,1/01/2015
ld5asrtcfi,"5"" assortment lidu (18 shells) various fancy shells",14.39,1/01/2015
yf5assT,"5"" assortment T (fancy), yung feng, 1 ea of 24 w/2 fuses",19.92,1/01/2015
yy6assrta,"6"" assort A fancy, 1 ea of 9, some w/ tail, w/2 fuses",24.27,1/01/2015
yf6assorta,"6"" assort A yung feng (fancy) 1 ea 12  w/2 fuses",32.78,1/01/2015
yy6assrtb,"6"" assort B fancy, 1 ea of 9, some w/ tail, w/2 fuses",22.02,1/01/2015
yf6assortb,"6"" assort B yung feng (fancy) 1 ea 12 w/2 fuses",34.76,1/01/2015
yf6asrtc1,"6"" assort C1 yung feng (fancy) 1 ea 12  w/2 fuses",33.64,1/01/2015
yf6asrtc2,"6"" assort C2 yung feng (fancy) 1 ea 12  w/2 fuses",32.63,1/01/2015
