ID,Description,Quantity,CostPerItem,Date,,,,,,
em-2m,"ematch 2-meter wire length, orange wire, 50/box",38,0.34,2/01/2015,,,,,,
em-3m,"ematch 3-meter wire length, blue or black wire 40/box",117,0.55,2/01/2015,,,,,,
em-5m,"ematch 5-meter wire length,  yellow wire 25/box",496,0.73,2/01/2015,,,,,,
fc1.0cm,firecrackers 1.0cm diameter - 177 feet; 12000 pcs,42,76.42,2/01/2015,,,,,,
fc1.8cm,firecrackers 1.8cm diameter - 95 feet; 3700 pcs,388,66.77,2/01/2015,,,,,,
fc2.0cm,firecrackers 2.0cm diameter - 89 feet; 2800 pcs,309,64.14,2/01/2015,,,,,,
qm-50m,quickmatch fuse - 50 meter roll,492,32.85,2/01/2015,,,,,,
rack-175-hdpe,"mortar rack, 1.75"" w/14 black hdpe tubes, 4 ft wide",133,56.02,2/01/2015,,,,,,
rack-25-hdpe,"mortar rack, 2.5"" w/10 black hdpe tubes, 4 ft wide",63,59.43,2/01/2015,,,,,,
rack-3-hdpe,"mortar rack, 3"" w/10 black hdpe tubes, 4 ft wide",196,65.64,2/01/2015,,,,,,
rack-4-hdpe,"mortar rack, 4"" w/8 black hdpe tubes, 4 ft wide",354,94.68,2/01/2015,,,,,,
rack-5-hdpe,"mortar rack, 5"" w/6 black hdpe tubes, 4 ft wide",29,86.98,2/01/2015,,,,,,
rack-6-hdpe,"mortar rack, 6"" w/5 black hdpe tubes, 4 ft wide",196,79.75,2/01/2015,,,,,,
tube-10-hdpe,"mortar tube, 10"", black hdpe, 60"" long",388,71.34,2/01/2015,,,,,,
tube-25-hdpe,"mortar tube, 2.5"", black hdpe, 16 1/2"" long",304,3.18,2/01/2015,,,,,,
tube-3-hdpe,"mortar tube, 3"", black hdpe, 19 1/2"" long",442,3.47,2/01/2015,,,,,,
tube-4-hdpe,"mortar tube, 4"", black hdpe, 23.6"" long",21,6.72,3/01/2015,,,,,,
tube-5-hdpe,"mortar tube, 5"", black hdpe, 30"" long",304,11.24,3/01/2015,,,,,,
tube-6-hdpe,"mortar tube, 6"", black hdpe, 35.4"" long",75,14.6,3/01/2015,,,,,,
tube-6-fg,"mortar tube, 6"", blue fiberglass, 35.4"" long",400,13.07,3/01/2015,,,,,,
tube-8-hdpe,"mortar tube, 8"", black hdpe, 43.3"" long",480,34.09,3/01/2015,,,,,,
ld2asrt,"2"" assortment A&B Lidu 1 ea of 144 w/tails",209,0.71,3/01/2015,,,,,,
ld25asrta,"2.5"" assortment A 24 types 4 ea (incl. 20 mc tiger tails) w/tails",108,1.09,3/01/2015,,,,,,
yf25assorta,"2.5"" assortment A yung feng 4 ea of 25 w/large red tail & 2 fuses",392,1.95,3/01/2015,,,,,,
yx25assorta,"2.5"" assortment A yx 4 ea of 24 w/large silver tail & 2 fuses",279,1.37,3/01/2015,,,,,,
ld25asrtb,"2.5"" assortment B 96 types 1 each w/tails",25,1.26,3/01/2015,,,,,,
ld25asrtc,"2.5"" assortment C 60 types 1 each + 36 salutes w/tails",238,1.21,3/01/2015,,,,,,
yx3assorta,"3"" assorted shells yx 2 ea of 36 w/big silver tail & 2 fuses",313,1.92,3/01/2015,,,,,,
yf3asrtc1,"3"" assortment C1 yung feng 2 ea of 36, w/2 fuses",46,3.1,3/01/2015,,,,,,
yf3assT,"3"" assortment T yung feng 2 ea of 36, w/2 fuses",425,2.04,3/01/2015,,,,,,
yf4asrtc1,"4"" assortment C1 yungfeng (fancy) 1 ea of 36 w/2 fuses",67,7.22,3/01/2015,,,,,,
hq4assort,"4"" assortment hq 1 ea of 36 w/big silver tail & 2 fuses",313,4.68,3/01/2015,,,,,,
sn4asrt,"4"" assortment sunny brand fancy shells 2 ea of 18 types",313,4.1,3/01/2015,,,,,,
yf4assT,"4"" assortment T yungfeng (fancy) 1 ea of 36 w/2 fuses",484,5.95,3/01/2015,,,,,,
yx4assorta,"4"" assortment yx 2 ea of 18 w/big silver tail & 2 fuses",58,3.61,3/01/2015,,,,,,
hq5assort,"5"" assortment 1 ea of 24 w/big silver tail & 2 fuses",154,11.56,3/01/2015,,,,,,
yy5assrta,"5"" assortment A fancy - 1 ea of 24, some w/tail, 2 fuses",42,9.11,3/01/2015,,,,,,
yf5assorta,"5"" assortment A yf 1 ea of 24 w/ long fuse & short fuse w/emc",404,12.79,3/01/2015,,,,,,
yy5assrtb,"5"" assortment B fancy - 1 ea of 24, some w/tail, 2 fuses",108,11.94,3/01/2015,,,,,,
yf5assortb,"5"" assortment B yf 1 ea of 24 w/long fuse & short fuse w/emc",484,10.12,4/01/2015,,,,,,
yf5asrtc1,"5"" assortment C1 (fancy), yung feng, 1 ea of 24 w/2 fuses",434,14.34,4/01/2015,,,,,,
yf5asrtc2,"5"" assortment C2 (fancy), yung feng, 1 ea of 24 w/2 fuses",329,10.96,4/01/2015,,,,,,
ld5asrtcfi,"5"" assortment lidu (18 shells) various fancy shells",271,11.94,4/01/2015,,,,,,
yf5assT,"5"" assortment T (fancy), yung feng, 1 ea of 24 w/2 fuses",317,15.74,4/01/2015,,,,,,
yy6assrta,"6"" assort A fancy, 1 ea of 9, some w/ tail, w/2 fuses",488,16.75,4/01/2015,,,,,,
yf6assorta,"6"" assort A yung feng (fancy) 1 ea 12  w/2 fuses",329,27.21,4/01/2015,,,,,,
yy6assrtb,"6"" assort B fancy, 1 ea of 9, some w/ tail, w/2 fuses",350,13.87,4/01/2015,,,,,,
yf6assortb,"6"" assort B yung feng (fancy) 1 ea 12 w/2 fuses",505,26.42,4/01/2015,,,,,,
yf6asrtc1,"6"" assort C1 yung feng (fancy) 1 ea 12  w/2 fuses",388,22.54,4/01/2015,,,,,,
yf6asrtc2,"6"" assort C2 yung feng (fancy) 1 ea 12  w/2 fuses",463,19.58,4/01/2015,,,,,,
yf6asrtc3,"6"" assort C3 yung feng (fancy) 1 ea 12  w/2 fuses",413,24.82,4/01/2015,,,,,,
hq6assort,"6"" assort HQ 1 ea of 9 w/big silver tail w/2 fuses",50,19.26,5/01/2015,,,,,,
yf6assT1,"6"" assort T1 yung feng (fancy) 1 ea 12  w/2 fuses",259,24.04,5/01/2015,,,,,,
yf6assT2,"6"" assort T2 yung feng (fancy) 1 ea 12  w/2 fuses",346,25.39,5/01/2015,,,,,,
yf6assT3,"6"" assort T3 yung feng (fancy) 1 ea 12  w/2 fuses",67,24.8,5/01/2015,,,,,,
ld6asrtcfi,"6"" assortment lidu 1 ea 9 types",96,17.37,5/01/2015,,,,,,
ld8asrt,"8"" assorted peonies w/tail",475,30.47,5/01/2015,,,,,,
yy8assrta,"8"" assortment A (fancy), 1 ea of 6, some w/tail, w/2 fuses",375,40.36,5/01/2015,,,,,,
yy8assrtb,"8"" assortment B (fancy), 1 ea of 6, some w/tail, w/2 fuses",488,38.51,5/01/2015,,,,,,
yf8assort,"8"" assortment YungFeng A thru R (fancy), 1 ea of 4 w/2 fuses",192,36.53,5/01/2015,,,,,,
yf8asrtc1,"8"" assortment YungFeng C1 (fancy), 1 ea of 4 w/2 fuses",204,47.4,5/01/2015,,,,,,
yf8asrtc2,"8"" assortment YungFeng C2 (fancy), 1 ea of 4 w/2 fuses",467,35.79,5/01/2015,,,,,,
yf8asrtc3,"8"" assortment YungFeng C3 (fancy), 1 ea of 4 w/2 fuses",288,40.5,5/01/2015,,,,,,
yf8asrtc4,"8"" assortment YungFeng C4 (fancy), 1 ea of 4 w/2 fuses",442,35.6,5/01/2015,,,,,,
yf8asrtc5,"8"" assortment YungFeng C5 (fancy), 1 ea of 4 w/2 fuses",363,39.92,5/01/2015,,,,,,
yf8asrtc6,"8"" assortment YungFeng C6 (fancy), 1 ea of 4 w/2 fuses",363,41.72,5/01/2015,,,,,,
yf8assT1,"8"" assortment YungFeng T1 (fancy), 1 ea of 4 w/2 fuses",196,40.17,5/01/2015,,,,,,
yf8assT2,"8"" assortment YungFeng T2 (fancy), 1 ea of 4 w/2 fuses",359,46.72,5/01/2015,,,,,,
yf8assT3,"8"" assortment YungFeng T3 (fancy), 1 ea of 4 w/2 fuses",488,43.26,5/01/2015,,,,,,
yf8assT4,"8"" assortment YungFeng T4 (fancy), 1 ea of 4 w/2 fuses",242,45.46,6/01/2015,,,,,,
yf8assT5,"8"" assortment YungFeng T5 (fancy), 1 ea of 4 w/2 fuses",400,33.26,6/01/2015,,,,,,
yf8assT6,"8"" assortment YungFeng T6 (fancy), 1 ea of 4 w/2 fuses",79,42.72,6/01/2015,,,,,,
sn10assrt,"10"" assorted Sunny 10"" shells",292,72.3,6/01/2015,,,,,,
hq25q02-120,"2.5"" salute, dark (no ti), extra loud, w/2 fuses",25,1.71,6/01/2015,,,,,,
hq25q02-96,"2.5"" salute, dark (no ti), extra loud, w/2 fuses",388,1.58,6/01/2015,,,,,,
hq25gb,"2.5"" salute, dark -ground bomb, no delay, no lift, short fuse",463,2.11,6/01/2015,,,,,,
hq25q01-120,"2.5"" salute, ti, extra loud, w/2 fuses",234,1.56,6/01/2015,,,,,,
hq25q01-96,"2.5"" salute, ti, extra loud, w/2 fuses",284,2.11,6/01/2015,,,,,,
js3t01/hq3p03,"3"" salute dark, extra loud (no ti, no tail)",63,1.66,6/01/2015,,,,,,
js3t02/hq3p02,"3"" salute ti, extra loud",409,2.41,6/01/2015,,,,,,
js3Ngb,"3"" salute, dark - ground bomb, NO delay, no lift, short fuse",117,3.14,6/01/2015,,,,,,
jx3gb,"3"" salute, dark-ground bomb w/3sec delay, no lift, short fuse",100,2.82,6/01/2015,,,,,,
hx3t18,"3"" salute, ti w/silver tail",121,2.05,6/01/2015,,,,,,
wh3t01,"3"" salute, ti, shell of shells cylinder",133,4.21,6/01/2015,,,,,,
js4ngb,"4"" salute, ground bomb, dark (no ti), no delay, no lift",346,7.19,7/01/2015,,,,,,
hx4t19,"4"" salute, ti w/silver tail (ball)",350,4.45,7/01/2015,,,,,,
hq4q06,"4"" salute, ti, extra loud (ball)",425,5.44,7/01/2015,,,,,,
hq4q07,"4"" salute, ti, extra loud (cylinder)",288,5.22,7/01/2015,,,,,,
hq25chn1,"2.5"" chain 10 all dark salutes (no titanium)",417,1.33,7/01/2015,,,,,,
hq25chn2,"2.5"" chain 10 ti salutes w/big silver tails (""titanium chrys"")",346,1.68,7/01/2015,,,,,,
hq3chn11,"3"" chain 10 salute dark (no ti, no tail) (""crackling"")",354,3.02,7/01/2015,,,,,,
js3chn10,"3"" chain 10 ti salutes w/big silver tail (""silver flowers"")",480,2.96,7/01/2015,,,,,,
ld300,"3"" chain of 8 ti salutes w/big silver tails",259,2.64,7/01/2015,,,,,,
hq4chn2,"4"" chain 8 dark salutes (no ti, no tail)",21,4.02,7/01/2015,,,,,,
hq25chn4,"2.5"" chain 10 rainbow peonies + salutes w/big silver tail",259,1.8,7/01/2015,,,,,,
hq3chn4,"3"" chain 10 rainbow peonies & ti salutes(sil flwrs) w/big silver tails",438,2.3,7/01/2015,,,,,,
js3chn13,"3"" chain 10 red, white, blue peonies & salutes w/big silver tail",146,2.53,7/01/2015,,,,,,
hq25chn3,"2.5"" chain 10 rainbow peonies w/big silver tails",446,1.65,8/01/2015,,,,,,
js3chn3,"3"" chain 10 brcd crwn w/magenta pist & mag pe (5&5) w/big brcd tl",488,2.6,8/01/2015,,,,,,
js3chn8,"3"" chain 10 brocade crown w/red strobe pistil w/big brocade tail",108,2.54,8/01/2015,,,,,,
js3chn6,"3"" chain 10 brocade crown waterfallsl w/big brocade tail",271,2.8,8/01/2015,,,,,,
yf3d06,"3"" chain 10 crackling nishiki kamuro niagra falls",38,3.89,8/01/2015,,,,,,
js3chn2,"3"" chain 10 multicolor to crackling w/big brocade tail",434,2.11,8/01/2015,,,,,,
yf3k08,"3"" chain 10 nishiki kamuro niagra falls",463,3.47,8/01/2015,,,,,,
