Order ID,Customer ID,Order Date ,Store,SalesPerson,,,,,,
1,C4233Bris,1/01/2015,Brisbane,B1,,,,,,
2,C3547Bris,1/01/2015,Brisbane,B1,,,,,,
3,C1551Darw,1/01/2015,Darwin,D4,,,,,,
4,C673Bris,1/01/2015,Brisbane,B2,,,,,,
5,C559Bris,1/01/2015,Brisbane,B2,,,,,,
6,C2719Bris,1/01/2015,Brisbane,B1,,,,,,
7,C2971Sydn,1/01/2015,Sydney,S1,,,,,,
8,C4297Bris,1/01/2015,Brisbane,B1,,,,,,
9,C4133Melb,1/01/2015,Melbourne,M2,,,,,,
10,C4149Bris,1/01/2015,Brisbane,B2,,,,,,
11,C2514Darw,1/01/2015,Darwin,D3,,,,,,
12,C2005Bris,1/01/2015,Brisbane,B2,,,,,,
13,C764Bris,1/01/2015,Brisbane,B1,,,,,,
14,C2417Bris,1/01/2015,Brisbane,B2,,,,,,
15,C3093Sydn,1/01/2015,Sydney,S1,,,,,,
16,C3593Darw,1/01/2015,Darwin,D3,,,,,,
17,C4696Bris,1/01/2015,Brisbane,B2,,,,,,
18,C239Sydn,1/01/2015,Sydney,S1,,,,,,
19,C4251Bris,1/01/2015,Brisbane,B1,,,,,,
20,C4117Darw,1/01/2015,Darwin,D4,,,,,,
21,C1089Darw,1/01/2015,Darwin,D3,,,,,,
22,C3221Bris,1/01/2015,Brisbane,B1,,,,,,
23,C2350Bris,1/01/2015,Brisbane,B1,,,,,,
24,C4848Sydn,1/01/2015,Sydney,S1,,,,,,
25,C4391Bris,1/01/2015,Brisbane,B1,,,,,,
26,C750Darw,1/01/2015,Darwin,D1,,,,,,
27,C2816Sydn,1/01/2015,Sydney,S2,,,,,,
28,C3312Sydn,1/01/2015,Sydney,S2,,,,,,
29,C4304Bris,1/01/2015,Brisbane,B1,,,,,,
30,C3522Bris,1/01/2015,Brisbane,B1,,,,,,
31,C3039Bris,1/01/2015,Brisbane,B2,,,,,,
32,C2470Bris,1/01/2015,Brisbane,B2,,,,,,
33,C4794Bris,2/01/2015,Brisbane,B2,,,,,,
34,C614Bris,2/01/2015,Brisbane,B2,,,,,,
35,C3122Bris,2/01/2015,Brisbane,B2,,,,,,
36,C1686Darw,2/01/2015,Darwin,D1,,,,,,
37,C2064Bris,2/01/2015,Brisbane,B3,,,,,,
38,C4851Darw,2/01/2015,Darwin,D2,,,,,,
39,C4412Bris,2/01/2015,Brisbane,B3,,,,,,
40,C4866Bris,2/01/2015,Brisbane,B1,,,,,,
41,C2159Bris,2/01/2015,Brisbane,B1,,,,,,
42,C1090Darw,2/01/2015,Darwin,D2,,,,,,
43,C1240Sydn,2/01/2015,Sydney,S2,,,,,,
44,C801Darw,2/01/2015,Darwin,D2,,,,,,
45,C3509Bris,2/01/2015,Brisbane,B1,,,,,,
46,C3085Sydn,2/01/2015,Sydney,S2,,,,,,
47,C4719Sydn,2/01/2015,Sydney,S2,,,,,,
48,C2580Bris,2/01/2015,Brisbane,B2,,,,,,
49,C4255Bris,2/01/2015,Brisbane,B1,,,,,,
50,C1905Darw,2/01/2015,Darwin,D1,,,,,,
51,C2855Bris,2/01/2015,Brisbane,B3,,,,,,
52,C1184Sydn,2/01/2015,Sydney,S1,,,,,,
53,C4242Sydn,2/01/2015,Sydney,S1,,,,,,
54,C515Melb,2/01/2015,Melbourne,M1,,,,,,
55,C4189Melb,2/01/2015,Melbourne,M1,,,,,,
56,C1223Melb,2/01/2015,Melbourne,M1,,,,,,
57,C2785Darw,2/01/2015,Darwin,D3,,,,,,
58,C2273Bris,2/01/2015,Brisbane,B1,,,,,,
59,C2974Darw,2/01/2015,Darwin,D2,,,,,,
60,C1530Darw,2/01/2015,Darwin,D2,,,,,,
61,C1552Darw,2/01/2015,Darwin,D3,,,,,,
