Part Number,DESCRIPTION,PriceEa,ValidFrom
em-2m,"EMATCH 2-METER WIRE LENGTH, ORANGE WIRE, 50/BOX",0.48,1/01/2015
em-3m,"EMATCH 3-METER WIRE LENGTH, BLUE OR BLACK WIRE 40/BOX",0.71,1/01/2015
em-5m,"EMATCH 5-METER WIRE LENGTH,  YELLOW WIRE 25/BOX",0.91,1/01/2015
fc1.0cm,FIRECRACKERS 1.0CM DIAMETER - 177 FEET; 12000 PCS,89.9,1/01/2015
fc1.8cm,FIRECRACKERS 1.8CM DIAMETER - 95 FEET; 3700 PCS,87.85,1/01/2015
fc2.0cm,FIRECRACKERS 2.0CM DIAMETER - 89 FEET; 2800 PCS,86.68,1/01/2015
qm-50m,QUICKMATCH FUleSE - 50 METER ROLL,45,1/01/2015
rack-175-hdpe,"MORTAR RACK, 1.75"" W/14 BLACK HDPE TUBES, 4 FT WIDE",65.91,1/01/2015
rack-25-hdpe,"MORTAR RACK, 2.5"" W/10 BLACK HDPE TUBES, 4 FT WIDE",70.75,1/01/2015
rack-3-hdpe,"MORTAR RACK, 3"" W/10 BLACK HDPE TUBES, 4 FT WIDE",79.08,1/01/2015
rack-4-hdpe,"MORTAR RACK, 4"" W/8 BLACK HDPE TUBES, 4 FT WIDE",114.07,1/01/2015
rack-5-hdpe,"MORTAR RACK, 5"" W/6 BLACK HDPE TUBES, 4 FT WIDE",133.81,1/01/2015
rack-6-hdpe,"MORTAR RACK, 6"" W/5 BLACK HDPE TUBES, 4 FT WIDE",150.48,1/01/2015
tube-10-hdpe,"MORTAR TUBE, 10"", BLACK HDPE, 60"" LONG",88.07,1/01/2015
tube-25-hdpe,"MORTAR TUBE, 2.5"", BLACK HDPE, 16 1/2"" LONG",3.92,1/01/2015
tube-3-hdpe,"MORTAR TUBE, 3"", BLACK HDPE, 19 1/2"" LONG",5.11,1/01/2015
tube-4-hdpe,"MORTAR TUBE, 4"", BLACK HDPE, 23.6"" LONG",8.2,1/01/2015
tube-5-hdpe,"MORTAR TUBE, 5"", BLACK HDPE, 30"" LONG",13.54,1/01/2015
tube-6-hdpe,"MORTAR TUBE, 6"", BLACK HDPE, 35.4"" LONG",20.86,1/01/2015
tube-6-fg,"MORTAR TUBE, 6"", BLUE FIBERGLASS, 35.4"" LONG",16.13,1/01/2015
tube-8-hdpe,"MORTAR TUBE, 8"", BLACK HDPE, 43.3"" LONG",55.89,1/01/2015
ld2asrt,"2"" ASSORTMENT A&B LIDU 1 EA OF 144 W/TAILS",1.42,1/01/2015
ld25asrta,"2.5"" ASSORTMENT A 24 TYPES 4 EA (INCL. 20 MC TIGER TAILS) W/TAILS",1.79,1/01/2015
yf25assorta,"2.5"" ASSORTMENT A YUNG FENG 4 EA OF 25 W/LARGE RED TAIL & 2 FULESES",2.32,1/01/2015
yx25assorta,"2.5"" ASSORTMENT A YX 4 EA OF 24 W/LARGE SILVER TAIL & 2 FULESES",1.74,1/01/2015
ld25asrtb,"2.5"" ASSORTMENT B 96 TYPES 1 EACH W/TAILS",1.91,1/01/2015
ld25asrtc,"2.5"" ASSORTMENT C 60 TYPES 1 EACH + 36 SALUTES W/TAILS",1.78,1/01/2015
yx3assorta,"3"" ASSORTED SHELLS YX 2 EA OF 36 W/BIG SILVER TAIL & 2 FULESES",2.91,1/01/2015
yf3asrtc1,"3"" ASSORTMENT C1 YUNG FENG 2 EA OF 36, W/2 FULESES",4.49,1/01/2015
yf3assT,"3"" ASSORTMENT T YUNG FENG 2 EA OF 36, W/2 FULESES",4.26,1/01/2015
yf4asrtc1,"4"" ASSORTMENT C1 YUNGFENG (FANCY) 1 EA OF 36 W/2 FULESES",10.32,1/01/2015
hq4assort,"4"" ASSORTMENT HQ 1 EA OF 36 W/BIG SILVER TAIL & 2 FULESES",5.64,1/01/2015
sn4asrt,"4"" ASSORTMENT SUNNY BRAND FANCY SHELLS 2 EA OF 18 TYPES",7.32,1/01/2015
yf4assT,"4"" ASSORTMENT T YUNGFENG (FANCY) 1 EA OF 36 W/2 FULESES",9.6,1/01/2015
yx4assorta,"4"" ASSORTMENT YX 2 EA OF 18 W/BIG SILVER TAIL & 2 FULESES",5.83,1/01/2015
hq5assort,"5"" ASSORTMENT 1 EA OF 24 W/BIG SILVER TAIL & 2 FULESES",14.63,1/01/2015
yy5assrta,"5"" ASSORTMENT A FANCY - 1 EA OF 24, SOME W/TAIL, 2 FULESES",13.39,1/01/2015
yf5assorta,"5"" ASSORTMENT A YF 1 EA OF 24 W/ LONG FULESE & SHORT FULESE W/EMC",18.81,1/01/2015
yy5assrtb,"5"" ASSORTMENT B FANCY - 1 EA OF 24, SOME W/TAIL, 2 FULESES",15.92,1/01/2015
yf5assortb,"5"" ASSORTMENT B YF 1 EA OF 24 W/LONG FULESE & SHORT FULESE W/EMC",20.23,1/01/2015
yf5asrtc1,"5"" ASSORTMENT C1 (FANCY), YUNG FENG, 1 EA OF 24 W/2 FULESES",18.87,1/01/2015
